set D:= 232 208 209 201 212 218 219 213;
set A:= 232 208 209 201 212 218 219 213;
set DEPOT:= 1;


param DISTANCE_PARKING :	232 208 209 201 212 218 219 213:=
						232	0.00 1.50 1.00 2.45 2.30 1.90 2.70 0.40
						208	1.50 0.00 0.70 1.75 1.90 1.50 2.10 1.60
						209	1.00 0.70 0.00 1.60 1.40 1.00 1.70 1.20
						201	2.45 1.75 1.60 0.00 1.75 1.30 2.00 2.40
						212	2.30 1.90 1.40 1.75 0.00 0.55 1.30 2.40
						218	1.90 1.50 1.00 1.30 0.55 0.00 0.90 2.10
						219	2.70 2.10 1.70 2.00 1.30 0.90 0.00 2.40
						213	0.40 1.60 1.20 2.40 2.40 2.10 2.40 0.00 ;
	
	
param LONGUEUR:= 8;
param COUT_PAR_KM:=2;
param NB_CM_NEIGE = 15;


param DISTANCE_DEPOT_KM : 1:=
	232 2.1
	208 1.75
	209 1.45
	201 1.1
	212 0.7
	218 1
	219 0.125
	213 2.25;
	
param SURFACE_PARKING:=
	232 3000
	208 2000
	209 20000
	201 800
	212 4000
	218 3600
	219 25550
	213 875;
